title,url,type,lot,sale,date,location,currency,price,estimate_min,estimate_max,provenance,signature,technique,height,width,production_date,price_EUR,estimate_min_EUR,estimate_max_EUR,area,support,sale_title,sale_price,sale_price_EUR,prediction,general_technique,theme
"etude d'homme nu, vu de dos",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-dhomme-nu-vu-de-6169111-details.aspx,dibujo-acuarela,166,15978,2018-11-12,New York,USD,40000,18000,25000,"(possibly) René Degas, Paris (brother of the artist).",firma,lápiz,39.1,27.5,1857,35200,15840,22000,1075.25,papel,Impressionist and Modern Art Works on Paper,9024625,7941670,menor,"resto",estudio/copia
femme à sa toilette,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-a-sa-toilette-6169131-details.aspx,dibujo-acuarela,186,15978,2018-11-12,New York,USD,312500,300000,500000,"Estate of the artist; First sale, Galerie Georges Petit, Paris, 6-8 May 1918, lot 321.",sello,pastel y carboncillo,109.3,71.7,1895,275000,264000,440000,7836.81,papel,Impressionist and Modern Art Works on Paper,9024625,7941670,correcta,pastel,mujer
petites filles spartiates provo...,https://www.christies.com/lotfinder/paintings/edgar-degas-petites-filles-spartiates-provo-6169400-details.aspx,pintura,406,15979,2018-11-12,New York,USD,1452500,400000,600000,"Estate of the artist; Third sale, Galerie Georges Petit, Paris, 7-9 April 1919, lot 31.",sello,óleo,50,32,1860,1278200,352000,528000,1600,lienzo,Impressionist and Modern Art Day Sale,29191875,25688850,menor,óleo,mujer
quatre danseuses,https://www.christies.com/lotfinder/paintings/edgar-degas-quatre-danseuses-6169512-details.aspx,pintura,46 A,15977,2018-11-11,New York,USD,5937500,5000000,7000000,"Private collection, Paris (circa 1960); Estate sale, Christie’s, New York, 14 May 1997, lot 33.",firma,pastel,78.5,89,1903,5225000,4400000,6160000,6986.5,papel,Impressionist and Modern Art Evening Sale Including Property from the Collection of Herbert and Adele Klapper,279253500,245743080,correcta,pastel,bailarina
autoportrait,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-autoportrait-6152452-details.aspx,dibujo-acuarela,139,15930,2018-06-21,London,GBP,3128750,350000,550000,"Wilhelm Weinberg, Scarsdale, New York, and thence by descent; estate sale, Sotheby's, London, 10 July 1957, lot 19.",NA,peinture à l'essence y gouache,39.7,30.7,1854,3504200.0000000005,392000.00000000006,616000.0000000001,1218.79,papel,Impressionist and Modern Works on Paper,8118875,9093140,menor,"resto",retrato
"après le bain, trois femmes nue...",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-apres-le-bain-trois-femmes-6152487-details.aspx,dibujo-acuarela,174,15930,2018-06-21,London,GBP,368750,300000,400000,"The artist's estate; first sale, Galerie Georges Petit, Paris, 6-8 May 1918, lot 290.",sello,pastel,63.6,80.5,1893,413000.00000000006,336000.00000000006,448000.00000000006,5119.8,papel,Impressionist and Modern Works on Paper,8118875,9093140,correcta,pastel,mujer
"femme assise, se coiffant",https://www.christies.com/lotfinder/paintings/edgar-degas-femme-assise-se-coiffant-6155248-details.aspx,pintura,22 B,15483,2018-06-20,London,GBP,548750,600000,800000,"The artist's estate; Second sale, Galerie Georges Petit, Paris, 11-13 December 1918, lot 107.",sello,pastel y carboncillo,70,53.5,1888,614600.0000000001,672000.0000000001,896000.0000000001,3745,papel,Impressionist and Modern Art Evening Sale,128081750,143451560,mayor,pastel,mujer
etude pour petites filles spart...,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-etude-pour-petites-filles-spart-6139825-details.aspx,dibujo-acuarela,171,15972,2018-05-16,New York,USD,100000,50000,70000,"(probably) Estate of the artist; First sale, Galerie Georges Petit, Paris, 6-8 December 1918, lot 62b.",sello,lápiz,19.5,29.1,1860,88000,44000,61600,567.45,papel,Impressionist and Modern Art Works on Paper,16692375,14689290,menor,"resto",mujer
"femme nue assise, s'essuyant",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-femme-nue-assise-sessuyant-6139829-details.aspx,dibujo-acuarela,174,15972,2018-05-16,New York,USD,106250,70000,100000,"Estate of the artist; Third sale, Galerie Georges Petit, Paris, 7-9 April 1919, lot 192.",sello,carboncillo,51,64.6,NA,93500,61600,88000,3294.6,papel,Impressionist and Modern Art Works on Paper,16692375,14689290,menor,"resto",mujer
deux femmes appuyées à une barr...,https://www.christies.com/lotfinder/paintings/edgar-degas-deux-femmes-appuyees-a-une-6140945-details.aspx,pintura,10 A,15971,2018-05-15,New York,USD,2292500,3000000,5000000,"Mme Montandon, Paris.",firma,pastel,51.9,66.7,1883,2017400,2640000,4400000,3461.73,papel,Impressionist and Modern Art Evening Sale,415852500,365950200,mayor,pastel,mujer
